[ 12, 3 ]
[ 21, 1 ]
[ 24, 3 ]
[ 24, 12 ]
[ 24, 13 ]
[ 27, 3 ]
[ 27, 4 ]
[ 36, 3 ]
[ 36, 11 ]
[ 39, 1 ]
[ 42, 2 ]
[ 48, 3 ]
[ 48, 28 ]
[ 48, 29 ]
[ 48, 30 ]
[ 48, 31 ]
[ 48, 32 ]
[ 48, 33 ]
[ 48, 48 ]
[ 48, 49 ]
[ 48, 50 ]
[ 54, 8 ]
[ 54, 10 ]
[ 54, 11 ]
[ 57, 1 ]
[ 60, 9 ]
[ 63, 1 ]
[ 63, 3 ]
[ 72, 3 ]
[ 72, 15 ]
[ 72, 16 ]
[ 72, 25 ]
[ 72, 42 ]
[ 72, 43 ]
[ 72, 44 ]
[ 72, 47 ]
[ 75, 2 ]
[ 78, 2 ]
[ 81, 3 ]
[ 81, 4 ]
[ 81, 6 ]
[ 81, 7 ]
[ 81, 8 ]
[ 81, 9 ]
[ 81, 10 ]
[ 81, 12 ]
[ 81, 13 ]
[ 81, 14 ]
[ 84, 2 ]
[ 84, 9 ]
[ 84, 10 ]
[ 84, 11 ]
[ 93, 1 ]
[ 96, 3 ]
[ 96, 64 ]
[ 96, 65 ]
[ 96, 66 ]
[ 96, 67 ]
[ 96, 68 ]
[ 96, 69 ]
[ 96, 70 ]
[ 96, 71 ]
[ 96, 72 ]
[ 96, 73 ]
[ 96, 74 ]
[ 96, 185 ]
[ 96, 186 ]
[ 96, 187 ]
[ 96, 188 ]
[ 96, 189 ]
[ 96, 190 ]
[ 96, 191 ]
[ 96, 192 ]
[ 96, 193 ]
[ 96, 194 ]
[ 96, 195 ]
[ 96, 196 ]
[ 96, 197 ]
[ 96, 198 ]
[ 96, 199 ]
[ 96, 200 ]
[ 96, 201 ]
[ 96, 202 ]
[ 96, 203 ]
[ 96, 204 ]
[ 96, 226 ]
[ 96, 227 ]
[ 96, 228 ]
[ 96, 229 ]
[ 105, 1 ]
[ 108, 3 ]
[ 108, 11 ]
[ 108, 13 ]
[ 108, 14 ]
[ 108, 15 ]
[ 108, 18 ]
[ 108, 19 ]
[ 108, 20 ]
[ 108, 21 ]
[ 108, 22 ]
[ 108, 28 ]
[ 108, 30 ]
[ 108, 31 ]
[ 108, 41 ]
[ 111, 1 ]
[ 114, 2 ]
[ 117, 1 ]
[ 117, 3 ]
[ 120, 15 ]
[ 120, 37 ]
[ 120, 38 ]
[ 120, 39 ]
[ 120, 43 ]
[ 126, 2 ]
[ 126, 8 ]
[ 126, 10 ]
[ 129, 1 ]
[ 132, 6 ]
[ 135, 3 ]
[ 135, 4 ]
[ 144, 3 ]
[ 144, 31 ]
[ 144, 32 ]
[ 144, 33 ]
[ 144, 34 ]
[ 144, 35 ]
[ 144, 36 ]
[ 144, 68 ]
[ 144, 109 ]
[ 144, 110 ]
[ 144, 111 ]
